Continent,Country,Country_Code
Asia,Philippines,PHL
Asia,North Korea,PRK
Asia,Palestine,PSE
Asia,Qatar,QAT
Asia,Saudi Arabia,SAU
Asia,Singapore,SGP
Asia,Syria,SYR
Asia,Thailand,THA
Asia,Tajikistan,TJK
Asia,Turkmenistan,TKM
Asia,Timor-Leste,TLS
Asia,Turkey,TUR
Asia,Taiwan,TWN
Asia,Uzbekistan,UZB
Asia,Vietnam,VNM
Asia,Yemen,YEM
Europe,Albania,ALB
Europe,Andorra,AND
Europe,Austria,AUT
Europe,Belgium,BEL
Europe,Bulgaria,BGR
Europe,Bosnia and Herzegovina,BIH
Europe,Belarus,BLR
Europe,Switzerland,CHE
Europe,Cyprus,CYP
Europe,Czech Republic,CZE
Europe,Germany,DEU
Europe,Denmark,DNK
Europe,Spain,ESP
Europe,Estonia,EST
Europe,Finland,FIN
Europe,France,FRA
Europe,Faroe Islands,FRO
Europe,United Kingdom,GBR
Europe,Guernsey,GGY
Europe,Gibraltar,GIB
Europe,Greece,GRC
Europe,Croatia,HRV
Europe,Hungary,HUN
Europe,Isle of Man,IMN
Europe,Ireland,IRL
Europe,Italy,ITA
Europe,Jersey,JEY
Europe,Liechtenstein,LIE
Europe,Lithuania,LTU
Europe,Luxembourg,LUX
Europe,Latvia,LVA
Europe,Monaco,MCO
Europe,Moldova,MDA
Europe,North Macedonia,MKD
Europe,Malta,MLT
Europe,Montenegro,MNE
Europe,Netherlands,NLD
Europe,Norway,NOR
Europe,Poland,POL
Europe,Portugal,PRT
Europe,Romania,ROU
Europe,Russia,RUS
Europe,San Marino,SMR
Europe,Serbia,SRB
Europe,Slovakia,SVK
Europe,Slovenia,SVN
Europe,Sweden,SWE
Europe,Ukraine,UKR
Europe,Vatican City,VAT
North America,Anguilla,AIA
North America,Aruba,ABW
North America,Antigua and Barbuda,ATG
North America,Bahamas,BHS
North America,Saint Barthelemy,BLM
North America,Belize,BLZ
North America,Bermuda,BMU
North America,Barbados,BRB
North America,Bonaire, Sint Eustatius and Saba,BES
North America,Canada,CAN
North America,Costa Rica,CRI
North America,Cuba,CUB
North America,Curacao,CUW
North America,Cayman Islands,CYM
North America,Dominica,DMA
North America,Dominican Republic,DOM
North America,Guadeloupe,GLP
North America,Grenada,GRD
North America,Guatemala,GTM
North America,Honduras,HND
North America,Haiti,HTI
North America,Jamaica,JAM
North America,Saint Kitts and Nevis,KNA
North America,Saint Lucia,LCA
North America,Saint Martin,MAF
North America,Mexico,MEX
North America,Montserrat,MSR
North America,Martinique,MTQ
North America,Nicaragua,NIC
North America,Panama,PAN
North America,Puerto Rico,PRI
North America,El Salvador,SLV
North America,Saint Pierre and Miquelon,SPM
North America,Sint Maarten,SXM
North America,Turks and Caicos Islands,TCA
North America,Trinidad and Tobago,TTO
North America,United States of America,USA
North America,Saint Vincent and the Grenadines,VCT
North America,British Virgin Islands,VGB
North America,United States Virgin Islands,VIR
Oceania,American Samoa,ASM
Oceania,Australia,AUS
Oceania,Cook Islands,COK
Oceania,Fiji,FJI
Oceania,Micronesia,FSM
Oceania,Guam,GUM
Oceania,Kiribati,KIR
Oceania,Marshall Islands,MHL
Oceania,Northern Mariana Islands,MNP
Oceania,New Caledonia,NCL
Oceania,Norfolk Island,NFK
Oceania,Niue,NIU
Oceania,Nauru,NRU
Oceania,New Zealand,NZL
Oceania,Pitcairn Islands,PCN
Oceania,Palau,PLW
Oceania,Papua New Guinea,PNG
Oceania,French Polynesia,PYF
Oceania,Solomon Islands,SLB
Oceania,Tokelau,TKL
Oceania,Tonga,TON
Oceania,Tuvalu,TUV
Oceania,United States Minor Outlying Islands,UMI
Oceania,Vanuatu,VUT
Oceania,Wallis and Futuna,WLF
Oceania,Samoa,WSM
South America,Argentina,ARG
South America,Bolivia,BOL
South America,Brazil,BRA
South America,Chile,CHL
South America,Colombia,COL
South America,Ecuador,ECU
South America,Falkland Islands,FLK
South America,French Guiana,GUF
South America,Guyana,GUY
South America,Peru,PER
South America,Paraguay,PRY
South America,Suriname,SUR
South America,Uruguay,URY
South America,Venezuela,VEN
